time,open,high,low,close
1577836800.0,7195.24000000,7255.00000000,7175.15000000,7200.85000000
1577923200.0,7200.77000000,7212.50000000,6924.74000000,6965.71000000
1578009600.0,6965.49000000,7405.00000000,6871.04000000,7344.96000000
1578096000.0,7345.00000000,7404.00000000,7272.21000000,7354.11000000
1578182400.0,7354.19000000,7495.00000000,7318.00000000,7358.75000000
1578268800.0,7357.64000000,7795.34000000,7346.76000000,7758.00000000
1578355200.0,7758.90000000,8207.68000000,7723.71000000,8145.28000000
1578441600.0,8145.92000000,8455.00000000,7870.00000000,8055.98000000
1578528000.0,8054.72000000,8055.96000000,7750.00000000,7817.76000000
1578614400.0,7817.74000000,8199.00000000,7672.00000000,8197.02000000
1578700800.0,8198.86000000,8286.34000000,8003.16000000,8020.01000000
1578787200.0,8020.01000000,8197.00000000,7960.00000000,8184.98000000
1578873600.0,8184.97000000,8196.00000000,8055.89000000,8110.34000000
1578960000.0,8110.34000000,8880.00000000,8105.54000000,8810.01000000
1579046400.0,8814.64000000,8916.48000000,8564.00000000,8821.41000000
1579132800.0,8820.01000000,8859.81000000,8586.00000000,8720.01000000
1579219200.0,8720.15000000,9041.65000000,8672.44000000,8913.28000000
1579305600.0,8913.27000000,8988.88000000,8806.38000000,8915.96000000
1579392000.0,8915.09000000,9198.98000000,8466.00000000,8701.70000000
1579478400.0,8701.72000000,8746.99000000,8521.28000000,8642.35000000
1579564800.0,8642.35000000,8789.00000000,8488.00000000,8736.03000000
1579651200.0,8736.04000000,8818.00000000,8590.00000000,8682.36000000
1579737600.0,8682.77000000,8691.81000000,8306.39000000,8404.52000000
1579824000.0,8404.52000000,8528.02000000,8238.00000000,8439.00000000
1579910400.0,8438.99000000,8451.26000000,8254.90000000,8340.58000000
1579996800.0,8340.01000000,8618.13000000,8293.66000000,8615.00000000
1580083200.0,8614.39000000,9000.00000000,8535.00000000,8907.57000000
1580169600.0,8907.57000000,9400.00000000,8862.40000000,9374.21000000
1580256000.0,9375.34000000,9449.24000000,9216.00000000,9301.53000000
1580342400.0,9301.57000000,9578.00000000,9204.44000000,9513.21000000
1580428800.0,9511.52000000,9530.22000000,9210.01000000,9352.89000000
1580515200.0,9351.71000000,9464.53000000,9281.00000000,9384.61000000
1580601600.0,9384.41000000,9477.03000000,9120.00000000,9331.51000000
1580688000.0,9331.59000000,9618.79000000,9234.00000000,9292.24000000
1580774400.0,9291.35000000,9350.00000000,9093.01000000,9197.02000000
1580860800.0,9197.02000000,9744.45000000,9177.22000000,9612.04000000
1580947200.0,9612.03000000,9862.57000000,9526.35000000,9772.00000000
1581033600.0,9772.00000000,9885.00000000,9730.00000000,9813.73000000
1581120000.0,9813.87000000,9940.00000000,9667.11000000,9895.05000000
1581206400.0,9895.04000000,10166.00000000,9880.75000000,10151.75000000
1581292800.0,10151.72000000,10188.00000000,9756.00000000,9851.83000000
1581379200.0,9851.74000000,10323.59000000,9700.00000000,10223.08000000
1581465600.0,10223.08000000,10450.00000000,10223.08000000,10326.46000000
